DECISION,Acronym,What it stands for,Why we suggested that,Group,User typed the acronym,Used in a longer search,User typed the long name,First searched,Times in documents,Times in titles,In UNTERM,UNTERM says,Agrees with us,UNTERM link,Anything to watch out for,Rule to paste into documents.sr
Yes,erm,enterprise risk management,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2023-12-19,21,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/439c96f2-da8b-40c7-8f65-063c091dc9c3,,"erm +> ?""enterprise risk management"";"
Yes,cefc,clean energy finance corporation,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,Yes,2023-09-18,21,,No,,,,,"cefc +> ?""clean energy finance corporation"";"
Yes,fpic,free prior informed consent,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2024-05-08,21,,Yes,"free, prior and informed consent",Matches,https://unterm.un.org/unterm2/en/view/bf760709-eecd-4f47-824e-bff5b26da5fe,,"fpic +> ?""free prior informed consent"";"
Yes,igcc,integrated gasification combined cycle,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,No,2026-06-21,20,,Yes,integrated gasification combined cycle,Matches,https://unterm.un.org/unterm2/en/view/e7e4c0d9-d711-4f65-a756-b368d0388f34,,"igcc +> ?""integrated gasification combined cycle"";"
Yes,iks,indigenous knowledge systems,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,Yes,2025-04-17,20,,No,,,,,"iks +> ?""indigenous knowledge systems"";"
Yes,ivc,integrated vector control,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,No,2024-10-18,20,,No,,,,,"ivc +> ?""integrated vector control"";"
Yes,afolu,agriculture forestry other land use,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2025-02-27,20,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/3e7ecd74-ebf0-49ab-9862-0361614b43ba,,"afolu +> ?""agriculture forestry other land use"";"
Yes,prtr,pollutant release transfer register,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,No,2024-06-13,20,,Yes,pollutant release and transfer register,Matches,https://unterm.un.org/unterm2/en/view/4ba5dcd7-c33d-4991-bcb7-b138278138b0,,"prtr +> ?""pollutant release transfer register"";"
Yes,gbif,global biodiversity information facility,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2026-03-23,20,,Yes,Global Biodiversity Information Facility,Matches,https://unterm.un.org/unterm2/en/view/c96202ee-2541-4db1-8bfc-75424a933d65,,"gbif +> ?""global biodiversity information facility"";"
Maybe,iea,international energy agency,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2023-12-11,1271,4,Yes,intermodal equipment associates,Ambiguous,https://unterm.un.org/unterm2/en/view/7a4c3a46-b745-433f-8be6-f3defe06e161,,"iea +> ?""international energy agency"";"
Maybe,cbd,convention biological diversity,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2024-01-22,1176,2,Yes,cannabidiol,Ambiguous,https://unterm.un.org/unterm2/en/view/10c09e30-b6e1-4b71-947c-ead7ede8cae7,,"cbd +> ?""convention biological diversity"";"
Maybe,cites,convention international trade endangered species,"users type it, but it is also the everyday word ""cites""",1 - Best picks,Yes,Yes,Yes,2025-06-26,806,,Yes,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Close,https://unterm.un.org/unterm2/en/view/25f5fa81-466c-4a81-89d1-637faa93adc9,Also an everyday English word.,"cites +> ?""convention international trade endangered species"";"
Maybe,esmf,environmental social management framework,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2025-11-26,447,,Yes,Equipment Storage and Maintenance Facility,Ambiguous,https://unterm.un.org/unterm2/en/view/0e2b3b40-35fe-4d2f-992b-eafa33a8b5be,,"esmf +> ?""environmental social management framework"";"
Maybe,apa,administrative procedure act,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2025-03-31,331,5,Yes,Advanced park assistance,Ambiguous,https://unterm.un.org/unterm2/en/view/c7ff1a3b-ad66-46e3-931c-72cb92451220,"The dictionary also has ""apa"" - check it is not a word people type.","apa +> ?""administrative procedure act"";"
Maybe,ifc,international finance corporation,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2024-02-09,329,,Yes,iodofluorocarbon,Ambiguous,https://unterm.un.org/unterm2/en/view/87dbe46e-fbd9-4612-9d87-1792a12790c7,,"ifc +> ?""international finance corporation"";"
Maybe,pif,project identification form,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2025-02-27,318,,Yes,Public Investment Fund,Ambiguous,https://unterm.un.org/unterm2/en/view/ac1fed72-865f-457d-b771-4351eca9f97a,,"pif +> ?""project identification form"";"
Maybe,esms,environmental social management system,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2024-08-07,286,,Yes,Euro SDMX Metadata Structure,Ambiguous,https://unterm.un.org/unterm2/en/view/17b1d9c8-bce9-4a85-b4ff-d45529bef44a,,"esms +> ?""environmental social management system"";"
Maybe,ndp,national development plan,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2023-09-17,274,3,Yes,New Democracy Party,Ambiguous,https://unterm.un.org/unterm2/en/view/311ca026-b827-4128-9afe-a1c0686d42cd,,"ndp +> ?""national development plan"";"
Maybe,eib,european investment bank,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2025-10-25,271,,Yes,Emirates Industrial Bank,Ambiguous,https://unterm.un.org/unterm2/en/view/ff3bb214-44cb-405c-804a-fc3a6ad47ed8,,"eib +> ?""european investment bank"";"
Maybe,bat,best available techniques,"users type it, but it is also the everyday word ""bat""",1 - Best picks,Yes,Yes,No,2025-03-12,271,,Yes,best available techniques,Matches,https://unterm.un.org/unterm2/en/view/3fa64519-7d80-4834-88a6-2f47bc25b8b8,Also an everyday English word.,"bat +> ?""best available techniques"";"
Maybe,wri,world resources institute,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2024-01-11,229,,Yes,Water Reactivity Index,Ambiguous,https://unterm.un.org/unterm2/en/view/2d666d01-ed87-4994-b305-3446cb0d4920,,"wri +> ?""world resources institute"";"
Maybe,isa,integrated science assessment,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,No,2026-03-13,224,,Yes,Islamic Shipowners' Association,Ambiguous,https://unterm.un.org/unterm2/en/view/74b9e3f7-c20a-43d4-9646-3f26bad3a8d3,,"isa +> ?""integrated science assessment"";"
Maybe,cap,common agricultural policy,"users type it, but it is also the everyday word ""cap""",1 - Best picks,Yes,Yes,Yes,2023-09-26,220,4,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/81198832-8fb3-46de-8f1a-23520628f67c,Also an everyday English word.,"cap +> ?""common agricultural policy"";"
Maybe,api,american petroleum institute,"users type it, but it is also the everyday word ""api""",1 - Best picks,Yes,Yes,Yes,2025-01-30,202,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/06b74c36-1478-4dfd-8e8d-4b36c7a47235,Also an everyday English word.,"api +> ?""american petroleum institute"";"
Maybe,sea,strategic environmental assessment,"users type it, but it is also the everyday word ""sea""",1 - Best picks,Yes,Yes,Yes,2023-09-30,187,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/daaae68c-5c4e-4adf-b919-6031d408a14d,Also an everyday English word.,"sea +> ?""strategic environmental assessment"";"
Maybe,glof,glacial lake outburst flood,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,No,2024-09-18,179,14,Yes,glacier lake outburst flood,Ambiguous,https://unterm.un.org/unterm2/en/view/07deebf6-9c32-46a8-bf8b-cd018f13a963,,"glof +> ?""glacial lake outburst flood"";"
Maybe,blm,bureau land management,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2025-09-30,165,,Yes,Black Lives Matter,Ambiguous,https://unterm.un.org/unterm2/en/view/9cc2617e-9f37-4444-9d76-90ba0d251a1e,,"blm +> ?""bureau land management"";"
Maybe,etf,enhanced transparency framework,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2024-03-25,159,9,Yes,Environmental Task Force,Ambiguous,https://unterm.un.org/unterm2/en/view/b54a541b-6d93-4305-8965-d0a4c5932382,,"etf +> ?""enhanced transparency framework"";"
Maybe,icc,international criminal court,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2025-10-08,148,2,Yes,International Chamber of Commerce,Ambiguous,https://unterm.un.org/unterm2/en/view/507b4efe-a8b2-4982-89b8-781c8d18015d,,"icc +> ?""international criminal court"";"
Maybe,esr,effort sharing regulation,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,No,Yes,2023-09-28,139,3,Yes,erythrocyte sedimentation rate,Ambiguous,https://unterm.un.org/unterm2/en/view/cbff446c-8822-4ff5-a1d5-d34a7a95bfd2,,"esr +> ?""effort sharing regulation"";"
Maybe,ema,environmental management authority,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2023-10-20,134,5,Yes,European Monetary Agreement,Ambiguous,https://unterm.un.org/unterm2/en/view/e019304c-b66a-4d90-bf29-c189d288e0ec,,"ema +> ?""environmental management authority"";"
Maybe,ippf,indigenous peoples plan framework,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,No,No,2025-08-18,124,,Yes,International Professional Practices Framework,Ambiguous,https://unterm.un.org/unterm2/en/view/a5317f39-f8ea-415c-b4bf-81926f0da1ce,,"ippf +> ?""indigenous peoples plan framework"";"
Maybe,csp,concentrated solar power,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2024-01-03,124,1,Yes,Canadian Space Programme,Ambiguous,https://unterm.un.org/unterm2/en/view/86d3a06d-708b-476a-87ea-33ba6bc25bb5,,"csp +> ?""concentrated solar power"";"
Maybe,oecm,other effective area based conservation measures,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,No,No,2024-01-17,116,,Yes,other effective area-based conservation measure,Ambiguous,https://unterm.un.org/unterm2/en/view/f4f0c313-d29e-4d5b-adb6-8a3b7e7020f1,,"oecm +> ?""other effective area based conservation measures"";"
Maybe,wcs,wildlife conservation society,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,No,No,2026-08-13,113,,Yes,World Conference on Science,Ambiguous,https://unterm.un.org/unterm2/en/view/da9fe454-7b59-4c58-ac44-fc324c6ca5df,,"wcs +> ?""wildlife conservation society"";"
Maybe,gri,global reporting initiative,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,No,Yes,2024-02-26,104,1,Yes,group repetition interval,Ambiguous,https://unterm.un.org/unterm2/en/view/d915652c-d90c-47eb-9ef6-836d5af6735c,,"gri +> ?""global reporting initiative"";"
Maybe,sfm,sustainable forest management,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,No,Yes,2024-01-20,96,,Yes,standardized funding model,Ambiguous,https://unterm.un.org/unterm2/en/view/b40ed527-5124-4f76-b3ef-f1a91c6ee1a6,,"sfm +> ?""sustainable forest management"";"
Maybe,csr,corporate social responsibility,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2023-10-23,95,,Yes,Continuous Synopsis Record,Ambiguous,https://unterm.un.org/unterm2/en/view/ef32dfd6-dd6e-4a0f-b87c-4dd0c8707826,,"csr +> ?""corporate social responsibility"";"
Maybe,sec,securities exchange commission,"users type it, but it is also the everyday word ""sec""",1 - Best picks,Yes,Yes,Yes,2023-10-17,84,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/ae75e362-3d61-448f-94e8-073d8ac044e4,Also an everyday English word.,"sec +> ?""securities exchange commission"";"
Maybe,sap,simplified approval process,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,No,2024-05-30,84,2,Yes,Stabilization and Association Process,Ambiguous,https://unterm.un.org/unterm2/en/view/d4967db3-a66d-4957-8c5a-b374694b154e,"The dictionary also has ""sap"" - check it is not a word people type.","sap +> ?""simplified approval process"";"
Maybe,cif,climate investment funds,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2024-11-12,74,,Yes,"cost, insurance and freight",Ambiguous,https://unterm.un.org/unterm2/en/view/b7d2a7c6-ce94-4cf5-886f-2de38db7da56,,"cif +> ?""climate investment funds"";"
Maybe,fsc,forest stewardship council,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2024-08-09,73,,Yes,fire support coordinator,Ambiguous,https://unterm.un.org/unterm2/en/view/4fede5ea-5f3d-4830-92eb-27b918eb5fd3,,"fsc +> ?""forest stewardship council"";"
Maybe,gfc,guyana forestry commission,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,No,2025-04-09,73,,Yes,Global Framework on Chemicals – for a Planet Free of Harm from Chemicals and Waste,Ambiguous,https://unterm.un.org/unterm2/en/view/fdb1b9d9-8d72-4395-b79c-592149949745,,"gfc +> ?""guyana forestry commission"";"
Maybe,sami,south africa s mineral industry,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,No,2025-10-21,71,,Yes,Security Association for the Maritime Industry,Ambiguous,https://unterm.un.org/unterm2/en/view/6b46399c-58d2-4be9-a4c6-5327d020228b,,"sami +> ?""south africa s mineral industry"";"
Maybe,jcm,joint crediting mechanism,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,No,Yes,2024-03-06,67,,Yes,joint coordinating mechanism,Ambiguous,https://unterm.un.org/unterm2/en/view/b34f4655-44ba-4093-9f16-1dad703fcf7b,,"jcm +> ?""joint crediting mechanism"";"
Maybe,needs,national electric energy data system,"users type it, but it is also the everyday word ""needs""",1 - Best picks,Yes,Yes,No,2023-10-15,65,,Yes,National Economic Empowerment and Development Strategy,Ambiguous,https://unterm.un.org/unterm2/en/view/3e0679bd-a2ca-4f86-8606-6a44b4fa68ca,Also an everyday English word.,"needs +> ?""national electric energy data system"";"
Maybe,sei,stockholm environment institute,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,No,No,2026-08-06,65,,Yes,space exploration initiative,Ambiguous,https://unterm.un.org/unterm2/en/view/33a1dbc8-398a-47cc-9829-5341fe8e4744,,"sei +> ?""stockholm environment institute"";"
Maybe,eps,earnings per share,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,No,2024-02-19,62,3,Yes,Economists for Peace and Security,Ambiguous,https://unterm.un.org/unterm2/en/view/047efc36-5b8c-49bf-bba0-30ea6f0450f7,,"eps +> ?""earnings per share"";"
Maybe,echr,european convention human rights,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2023-10-15,61,,Yes,European Commission of Human Rights,Ambiguous,https://unterm.un.org/unterm2/en/view/658c1029-888f-4e18-83b1-e94f1236f23e,,"echr +> ?""european convention human rights"";"
Maybe,cafe,corporate average fuel economy,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2025-04-16,61,4,Yes,Clean Air for Europe,Ambiguous,https://unterm.un.org/unterm2/en/view/aa8ffef3-f125-499c-bf5d-fb75dfc3d52b,,"cafe +> ?""corporate average fuel economy"";"
Maybe,ppa,power purchase agreement,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2023-12-30,59,,Yes,participatory poverty assessment,Ambiguous,https://unterm.un.org/unterm2/en/view/c9cce363-5ac1-4e5e-a20a-938059450e52,,"ppa +> ?""power purchase agreement"";"
Maybe,cbam,carbon border adjustment mechanism,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2023-09-26,59,,Yes,Mediterranean Fine Arts Chamber,Ambiguous,https://unterm.un.org/unterm2/en/view/aa1e092e-91fa-492b-8f7e-718faaadae7b,,"cbam +> ?""carbon border adjustment mechanism"";"
Maybe,list,luxembourg institute science technology,"users type it, but it is also the everyday word ""list""",1 - Best picks,Yes,Yes,No,2023-10-30,59,,No,,,,Also an everyday English word.,"list +> ?""luxembourg institute science technology"";"
Maybe,sri,system rice intensification,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,No,2023-09-22,56,,Yes,Survey Research Institute,Ambiguous,https://unterm.un.org/unterm2/en/view/b2e650a2-9595-42d1-999f-6614f4cb7bc6,"The dictionary also has ""sri"" - check it is not a word people type.","sri +> ?""system rice intensification"";"
Maybe,cat,climate action tracker,"users type it, but it is also the everyday word ""cat""",1 - Best picks,Yes,Yes,Yes,2023-11-10,54,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/c7815cf2-db37-432b-b0f0-188b8e383c59,Also an everyday English word.,"cat +> ?""climate action tracker"";"
Maybe,eed,energy efficiency directive,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2023-10-04,54,1,Yes,electro-explosive device,Ambiguous,https://unterm.un.org/unterm2/en/view/04dad0b0-8f67-41b0-a1a7-0812692ba691,,"eed +> ?""energy efficiency directive"";"
Maybe,eis,environmental impact statement,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2024-03-02,52,6,Yes,Efficiency Incentive Scheme,Ambiguous,https://unterm.un.org/unterm2/en/view/e5902117-4ebb-471b-bc2e-19b652e7a1d0,,"eis +> ?""environmental impact statement"";"
Maybe,cdp,carbon disclosure project,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,No,2024-03-20,52,20,Yes,common-depth-point,Ambiguous,https://unterm.un.org/unterm2/en/view/820e7928-ae60-430a-88e8-5f87da59bff9,,"cdp +> ?""carbon disclosure project"";"
Maybe,nps,net promoter score,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,No,No,2023-10-12,51,,Yes,new psychoactive substance,Ambiguous,https://unterm.un.org/unterm2/en/view/a1201c81-4494-4d56-ae02-5a4848383231,,"nps +> ?""net promoter score"";"
Maybe,ace,action climate empowerment,"users type it, but it is also the everyday word ""ace""",1 - Best picks,Yes,Yes,Yes,2024-07-26,49,3,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/987f6373-f0dd-449c-83aa-5cd40d6a9b33,Also an everyday English word.,"ace +> ?""action climate empowerment"";"
Maybe,nsds,national sustainable development strategy,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2023-09-29,47,8,Yes,national strategy for the development of statistics,Ambiguous,https://unterm.un.org/unterm2/en/view/344ba66d-11de-435e-a28b-49e1b4149b34,,"nsds +> ?""national sustainable development strategy"";"
Maybe,dsi,digital sequence information,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,No,No,2026-07-29,47,,Yes,digital speech interpolation,Ambiguous,https://unterm.un.org/unterm2/en/view/dcd55640-796d-4fb0-adc3-c75464aa139e,,"dsi +> ?""digital sequence information"";"
Maybe,cabei,central american bank economic integration,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,No,2025-06-17,43,,Yes,Intergovernmental Committee on the River Plate Basin,Ambiguous,https://unterm.un.org/unterm2/en/view/869c36b4-334b-4919-ba75-a353f00b9180,,"cabei +> ?""central american bank economic integration"";"
Maybe,dsm,demand side management,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2024-08-09,42,,Yes,dried skim milk,Ambiguous,https://unterm.un.org/unterm2/en/view/76b39049-ebaf-41fd-b1fe-d04bcc82f797,,"dsm +> ?""demand side management"";"
Maybe,msp,marine spatial planning,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2025-04-28,41,,Yes,medium-sized project,Ambiguous,https://unterm.un.org/unterm2/en/view/b4c521ab-89b9-4592-81e9-652bbaf4159a,,"msp +> ?""marine spatial planning"";"
Maybe,gesi,gender equality social inclusion,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,No,2024-11-21,40,2,Yes,Global e-Sustainability Initiative,Ambiguous,https://unterm.un.org/unterm2/en/view/b2fa7180-0009-442d-b6ab-70b1a5b39b77,,"gesi +> ?""gender equality social inclusion"";"
Maybe,ciel,center international environmental law,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,No,Yes,2025-09-25,38,,Yes,Euro-Lebanese Intercultural Centre,Ambiguous,https://unterm.un.org/unterm2/en/view/170d9874-70e5-4d80-8643-856b17073dbb,,"ciel +> ?""center international environmental law"";"
Maybe,ungc,united nations global compact,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,No,No,2025-07-28,34,,Yes,United Nations Governance Centre,Ambiguous,https://unterm.un.org/unterm2/en/view/28e42469-c3a3-4749-bb3e-e168ad74c298,,"ungc +> ?""united nations global compact"";"
Maybe,ice,information council environment,"users type it, but it is also the everyday word ""ice""",1 - Best picks,Yes,Yes,No,2024-01-19,33,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/0c2dbb0a-a1d1-455e-8332-007bd997b069,Also an everyday English word.,"ice +> ?""information council environment"";"
Maybe,ecr,effective carbon rate,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,No,2025-12-03,32,,Yes,efficient customer response,Ambiguous,https://unterm.un.org/unterm2/en/view/d5c4ab5a-1784-4b23-bff9-8623c09c9ea4,,"ecr +> ?""effective carbon rate"";"
Maybe,cds,current development scenario,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,No,No,2023-10-05,30,,Yes,container delivery system,Ambiguous,https://unterm.un.org/unterm2/en/view/4fd1b409-56f4-42f1-a5cb-c7db2ac7ac45,,"cds +> ?""current development scenario"";"
Maybe,cgiar,consultative group international agricultural research,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,No,No,2025-09-04,28,,Yes,CGIAR System Organization,Ambiguous,https://unterm.un.org/unterm2/en/view/a8513951-2400-4ce3-bcb5-9d874353e840,,"cgiar +> ?""consultative group international agricultural research"";"
Maybe,csrd,corporate sustainability reporting directive,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2023-09-27,27,1,Yes,Supreme Council for the Restoration of Democracy,Ambiguous,https://unterm.un.org/unterm2/en/view/09246225-648c-40e0-8e1e-3effac8be301,,"csrd +> ?""corporate sustainability reporting directive"";"
Maybe,iso,international standards organization,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,No,2024-02-07,27,,Yes,Insurance Service Office,Ambiguous,https://unterm.un.org/unterm2/en/view/709b9cd9-582a-4593-b1cd-c2910d20783c,"The dictionary also has ""iso"" - check it is not a word people type.","iso +> ?""international standards organization"";"
Maybe,snap,significant new alternatives policy,"users type it, but it is also the everyday word ""snap""",1 - Best picks,Yes,Yes,No,2023-09-22,27,2,Yes,Subnetwork access protocol,Ambiguous,https://unterm.un.org/unterm2/en/view/e8d0c7b2-8682-4f39-8060-37df9564b568,Also an everyday English word.,"snap +> ?""significant new alternatives policy"";"
Maybe,ioc,indian ocean commission,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,No,No,2026-02-23,26,7,Yes,Intergovernmental Oceanographic Commission,Ambiguous,https://unterm.un.org/unterm2/en/view/fceaaa12-21aa-4816-99ae-013f1f4beaf5,,"ioc +> ?""indian ocean commission"";"
Maybe,sia,social impact assessments,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2023-10-12,26,,Yes,senior information assistant,Ambiguous,https://unterm.un.org/unterm2/en/view/9df531af-2cf5-4ff1-8987-0d8eaa7c1409,"The dictionary also has ""sia"" - check it is not a word people type.","sia +> ?""social impact assessments"";"
Maybe,wto,world trade organization,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,No,2026-02-16,26,,Yes,Warsaw Treaty Organization,Ambiguous,https://unterm.un.org/unterm2/en/view/30b1cab7-6a2f-4a14-af9f-c906cc80c251,,"wto +> ?""world trade organization"";"
Maybe,ncp,nature s contributions people,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,No,2025-10-16,24,,Yes,National Congress Party,Ambiguous,https://unterm.un.org/unterm2/en/view/c0ec4d50-2eb9-4b17-884a-d47474f250b4,,"ncp +> ?""nature s contributions people"";"
Maybe,mla,mineral leasing act,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,No,No,2025-12-11,24,,Yes,main line of action,Ambiguous,https://unterm.un.org/unterm2/en/view/5269d752-cc78-4bb1-ad9b-edd81dc86eb0,,"mla +> ?""mineral leasing act"";"
Maybe,ppe,personal protective equipment,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,No,2024-04-15,24,,Yes,post-primary education,Ambiguous,https://unterm.un.org/unterm2/en/view/fe339a50-1e05-4f5b-b811-31aecbe34da0,,"ppe +> ?""personal protective equipment"";"
Maybe,pact,protected areas conservation trust,"users type it, but it is also the everyday word ""pact""",1 - Best picks,Yes,Yes,No,2024-02-13,24,,Yes,Partnership for Capacity Building in Africa,Ambiguous,https://unterm.un.org/unterm2/en/view/6aabd1e0-4992-4a00-9a8e-76c066beebe5,Also an everyday English word.,"pact +> ?""protected areas conservation trust"";"
Maybe,epca,energy policy conservation act,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2025-09-25,21,2,Yes,European Petrochemical Association,Ambiguous,https://unterm.un.org/unterm2/en/view/e8c6f1f4-2a1b-4b49-94dd-fbcdd2fe6b45,,"epca +> ?""energy policy conservation act"";"
Maybe,tec,technology executive committee,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,No,No,2026-02-12,21,,Yes,Trade by Enterprise Characteristics,Ambiguous,https://unterm.un.org/unterm2/en/view/a3429d7f-1332-4fd5-9244-bea4a0819a00,"The dictionary also has ""tec"" - check it is not a word people type.","tec +> ?""technology executive committee"";"
Maybe,wspa,western states petroleum association,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2025-12-11,21,,Yes,World Sport Publishers' Association,Ambiguous,https://unterm.un.org/unterm2/en/view/b177a0ac-cfb8-4fe5-8556-e1db711539b4,,"wspa +> ?""western states petroleum association"";"
Maybe,esf,european social fund,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,No,Yes,2024-03-02,21,,Yes,Exchange Stabilization Fund,Ambiguous,https://unterm.un.org/unterm2/en/view/69c5d6a3-a311-4937-b66a-c6e8cbae055d,,"esf +> ?""european social fund"";"
Maybe,agr,acid gas removal,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,No,2024-04-11,20,,Yes,European Agreement on main international traffic arteries,Ambiguous,https://unterm.un.org/unterm2/en/view/49af736b-66f9-4554-ad3a-e34bc039b87d,,"agr +> ?""acid gas removal"";"
Maybe,uct,university cape town,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,No,No,2025-08-18,20,,Yes,unconditional cash transfer,Ambiguous,https://unterm.un.org/unterm2/en/view/77e36efa-a203-4890-a23b-ef950b4efef1,,"uct +> ?""university cape town"";"
Maybe,nis,national inventory system,"users type it, but UNTERM lists another meaning",1 - Best picks,Yes,Yes,Yes,2024-04-17,20,,Yes,National Institute of Statistics,Ambiguous,https://unterm.un.org/unterm2/en/view/f5e1501c-1403-4562-b155-7764a043c29d,,"nis +> ?""national inventory system"";"
Maybe,ara,amendment restatement agreement,weak - the acronym is also a normal word,1 - Best picks,No,Yes,No,2024-02-05,3976,2,Yes,"Antwerp, Rotterdam, Amsterdam",Ambiguous,https://unterm.un.org/unterm2/en/view/6d18fe4a-342a-400e-a705-18498899f143,Also an everyday English word.,"ara +> ?""amendment restatement agreement"";"
Maybe,ppg,project preparation grant,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-12-26,2201,,Yes,project preparation grant,Matches,https://unterm.un.org/unterm2/en/view/9e9a2b16-e5bc-4a6b-83b6-3bdc4d07c736,,"ppg +> ?""project preparation grant"";"
