acronym	expansion	passages	status	note	rule_line
sa	strategic actions	106	review	ISO-2 prefix, Saudi Arabia	"sa +> ?""strategic actions"";"
ires	international recommendations energy statistics	106	ready		"ires +> ?""international recommendations energy statistics"";"
icr	information collection request	106	review	competing: information collection request (81); implementation completion report (25)	"icr +> ?""information collection request"";"
gcc	global climate coalition	106	ready		"gcc +> ?""global climate coalition"";"
eez	exclusive economic zone	106	ready		"eez +> ?""exclusive economic zone"";"
lb	living biomass	105	review	ISO-2 prefix, Libya	"lb +> ?""living biomass"";"
gri	global reporting initiative	104	ready		"gri +> ?""global reporting initiative"";"
ods	ozone depleting substances	104	ready		"ods +> ?""ozone depleting substances"";"
icat	initiative climate action transparency	103	ready		"icat +> ?""initiative climate action transparency"";"
eeaa	egyptian environmen tal affairs agency	103	review	competing: egyptian environmen tal affairs agency (73); egyptian environmental affairs agency (30)	"eeaa +> ?""egyptian environmen tal affairs agency"";"
leds	low emissions development strategy	103	review	competing: low emissions development strategy (61); low emission development strategy (42)	"leds +> ?""low emissions development strategy"";"
nso	national statistics office	102	review	competing: national statistics office (65); national statistical office (37)	"nso +> ?""national statistics office"";"
iom	international organization migration	101	ready		"iom +> ?""international organization migration"";"
ber	biodiversity expenditure review	101	ready		"ber +> ?""biodiversity expenditure review"";"
oep	office environmental protection	100	review	competing: office environmental protection (72); office energy projects (28)	"oep +> ?""office environmental protection"";"
tac	technical advisory committee	100	ready		"tac +> ?""technical advisory committee"";"
crf	common reporting format	100	review	competing: common reporting format (62); common reporting framework (38)	"crf +> ?""common reporting format"";"
cdb	caribbean development bank	99	ready		"cdb +> ?""caribbean development bank"";"
lc	least concern	99	review	ISO-2 prefix, Saint Lucia	"lc +> ?""least concern"";"
sprep	secretariat pacific regional environment programme	98	ready		"sprep +> ?""secretariat pacific regional environment programme"";"
jetp	just energy transition partnership	98	ready		"jetp +> ?""just energy transition partnership"";"
mat	mutually agreed terms	98	ready		"mat +> ?""mutually agreed terms"";"
nmfr	near miss frequency rate	98	ready		"nmfr +> ?""near miss frequency rate"";"
rema	rwanda environment management authority	97	ready		"rema +> ?""rwanda environment management authority"";"
redd+	reducing emissions deforestation forest degradation	97	ready		"redd+ +> ?""reducing emissions deforestation forest degradation"";"
sfm	sustainable forest management	96	ready		"sfm +> ?""sustainable forest management"";"
prsp	poverty reduction strategy paper	96	ready		"prsp +> ?""poverty reduction strategy paper"";"
spc	secretariat pacific community	96	ready		"spc +> ?""secretariat pacific community"";"
csr	corporate social responsibility	95	ready		"csr +> ?""corporate social responsibility"";"
ccd	climate change department	95	review	competing: climate change department (51); climate change division (44)	"ccd +> ?""climate change department"";"
ltifr	lost time injury frequency rate	94	ready		"ltifr +> ?""lost time injury frequency rate"";"
pb	project board	94	ready		"pb +> ?""project board"";"
hcvf	high conservation value forest	93	ready		"hcvf +> ?""high conservation value forest"";"
nfms	national forest monitoring system	93	ready		"nfms +> ?""national forest monitoring system"";"
ctcn	climate technology centre network	93	ready		"ctcn +> ?""climate technology centre network"";"
npv	net present value	92	ready		"npv +> ?""net present value"";"
rc	recovery cost	92	review	competing: recovery cost (70); responsible care (22)	"rc +> ?""recovery cost"";"
meps	minimum energy performance standards	92	review	competing: minimum energy performance standards (65); minimum energy performance standard (27)	"meps +> ?""minimum energy performance standards"";"
iplc	indigenous peoples local communities	91	ready		"iplc +> ?""indigenous peoples local communities"";"
iica	inter american institute cooperation agriculture	88	ready		"iica +> ?""inter american institute cooperation agriculture"";"
bfsf	belize fund sustainable future	88	ready		"bfsf +> ?""belize fund sustainable future"";"
nrc	national research council	88	review	competing: national research council (49); nuclear regulatory commission (39)	"nrc +> ?""national research council"";"
ceo	chief executive officer	86	ready		"ceo +> ?""chief executive officer"";"
serac	social economic rights action center	86	review	competing: social economic rights action center (44); social economic rights action centre (42)	"serac +> ?""social economic rights action center"";"
sst	sea surface temperature	86	ready		"sst +> ?""sea surface temperature"";"
iisd	international institute sustainable development	85	ready		"iisd +> ?""international institute sustainable development"";"
knecs	kenya national electric cooking strategy	84	ready		"knecs +> ?""kenya national electric cooking strategy"";"
eccc	environment climate change canada	84	ready		"eccc +> ?""environment climate change canada"";"
sec	securities exchange commission	84	ready		"sec +> ?""securities exchange commission"";"
sap	simplified approval process	84	ready		"sap +> ?""simplified approval process"";"
nep	national environmental policy	84	review	competing: national environmental policy (63); national energy policy (21)	"nep +> ?""national environmental policy"";"
cc	climate change	83	review	competing: climate change (62); combination categories (21)	"cc +> ?""climate change"";"
popp	programme operations policies procedures	83	ready		"popp +> ?""programme operations policies procedures"";"
nt	near threatened	82	ready		"nt +> ?""near threatened"";"
mtbe	methyl tertiary butyl ether	82	ready		"mtbe +> ?""methyl tertiary butyl ether"";"
wbcsd	world business council sustainable development	82	ready		"wbcsd +> ?""world business council sustainable development"";"
iwmi	international water management institute	81	ready		"iwmi +> ?""international water management institute"";"
dti	department trade industry	81	ready		"dti +> ?""department trade industry"";"
eo	environmental objectives	81	review	competing: environmental objectives (55); executive order (26)	"eo +> ?""environmental objectives"";"
bess	battery energy storage system	81	review	competing: battery energy storage system (51); battery energy storage systems (30)	"bess +> ?""battery energy storage system"";"
sadc	southern african development community	81	ready		"sadc +> ?""southern african development community"";"
lu	livestock units	81	review	ISO-2 prefix, Luxembourg	"lu +> ?""livestock units"";"
nsdrm	national strategy disaster risk management	80	ready		"nsdrm +> ?""national strategy disaster risk management"";"
react	renewable energy adaptation climate technologies	80	ready		"react +> ?""renewable energy adaptation climate technologies"";"
nsa	namibia statistics agency	80	ready		"nsa +> ?""namibia statistics agency"";"
gcv	gross caloric value	80	review	competing: gross caloric value (53); gross calorific value (27)	"gcv +> ?""gross caloric value"";"
mia	minamata initial assessment	80	review	competing: minamata initial assessment (48); ministry internal affairs (32)	"mia +> ?""minamata initial assessment"";"
bod	biochemical oxygen demand	80	review	competing: biochemical oxygen demand (60); biological oxygen demand (20)	"bod +> ?""biochemical oxygen demand"";"
ffs	farmer field schools	79	ready		"ffs +> ?""farmer field schools"";"
ead	environmental affairs department	79	review	competing: environmental affairs department (53); expected annual damage (26)	"ead +> ?""environmental affairs department"";"
cwa	clean water act	79	ready		"cwa +> ?""clean water act"";"
iarc	international agency research cancer	78	ready		"iarc +> ?""international agency research cancer"";"
gni	gross national income	78	ready		"gni +> ?""gross national income"";"
rcp	representative concentration pathway	78	review	competing: representative concentration pathway (46); representative concentration pathways (32)	"rcp +> ?""representative concentration pathway"";"
wef	world economic forum	77	ready		"wef +> ?""world economic forum"";"
met	ministry environment tourism	77	ready		"met +> ?""ministry environment tourism"";"
necp	national energy climate plan	77	review	already a rule in documents.sr	"necp +> ?""national energy climate plan"";"
nfwi	national forest wildlife inventory	76	ready		"nfwi +> ?""national forest wildlife inventory"";"
eagf	european agricultural guarantee fund	76	ready		"eagf +> ?""european agricultural guarantee fund"";"
pdo	project development objective	76	ready		"pdo +> ?""project development objective"";"
anr	assisted natural regeneration	76	ready		"anr +> ?""assisted natural regeneration"";"
dcc	department climate change	76	ready		"dcc +> ?""department climate change"";"
nim	national implementation modality	76	ready		"nim +> ?""national implementation modality"";"
sigi	social institutions gender index	75	ready		"sigi +> ?""social institutions gender index"";"
denr	department environment natural resources	75	ready		"denr +> ?""department environment natural resources"";"
rfo	residual fuel oil	75	ready		"rfo +> ?""residual fuel oil"";"
aeo	annual energy outlook	75	ready		"aeo +> ?""annual energy outlook"";"
bee	bureau energy efficiency	75	ready		"bee +> ?""bureau energy efficiency"";"
clc	corine land cover	75	ready		"clc +> ?""corine land cover"";"
irr	internal rate return	75	ready		"irr +> ?""internal rate return"";"
cpi	consumer price index	75	review	competing: consumer price index (49); climate policy initiative (26)	"cpi +> ?""consumer price index"";"
pcu	project coordination unit	74	ready		"pcu +> ?""project coordination unit"";"
cif	climate investment funds	74	ready		"cif +> ?""climate investment funds"";"
wii	weather index insurance	74	review	competing: weather index insurance (51); wildlife institute india (23)	"wii +> ?""weather index insurance"";"
sesp	social environmental screening procedure	74	ready		"sesp +> ?""social environmental screening procedure"";"
fsc	forest stewardship council	73	ready		"fsc +> ?""forest stewardship council"";"
gfc	guyana forestry commission	73	ready		"gfc +> ?""guyana forestry commission"";"
til	technical information library	73	ready		"til +> ?""technical information library"";"
ipbes	intergovernmental science policy platform biodiversity ecosystem services	73	ready		"ipbes +> ?""intergovernmental science policy platform biodiversity ecosystem services"";"
neap	national environmental action plan	73	ready		"neap +> ?""national environmental action plan"";"
tsd	technical support document	72	ready		"tsd +> ?""technical support document"";"
boem	bureau ocean energy management	72	ready		"boem +> ?""bureau ocean energy management"";"
sami	south africa s mineral industry	71	ready		"sami +> ?""south africa s mineral industry"";"
ansi	american national standards institute	71	ready		"ansi +> ?""american national standards institute"";"
au	aarhus university	71	review	ISO-2 prefix, Austria	"au +> ?""aarhus university"";"
piu	project implementation unit	71	ready		"piu +> ?""project implementation unit"";"
ncip	national crop insurance programme	70	ready		"ncip +> ?""national crop insurance programme"";"
mic	ministry industry commerce	70	ready		"mic +> ?""ministry industry commerce"";"
ifpri	international food policy research institute	70	ready		"ifpri +> ?""international food policy research institute"";"
netl	national energy technology laboratory	70	ready		"netl +> ?""national energy technology laboratory"";"
nhtsa	national highway traffic safety administration	70	ready		"nhtsa +> ?""national highway traffic safety administration"";"
cdr	carbon dioxide removal	70	ready		"cdr +> ?""carbon dioxide removal"";"
brt	bus rapid transit	69	ready		"brt +> ?""bus rapid transit"";"
satp	standard ambient temperature pressure	69	ready		"satp +> ?""standard ambient temperature pressure"";"
icep	index coastal eutrophication potential	69	review	competing: index coastal eutrophication potential (46); indicator coastal eutrophication potential (23)	"icep +> ?""index coastal eutrophication potential"";"
nasa	national aeronautics space administration	68	ready		"nasa +> ?""national aeronautics space administration"";"
rr	resident representative	68	ready		"rr +> ?""resident representative"";"
gwec	global wind energy council	68	ready		"gwec +> ?""global wind energy council"";"
mt	metric tonnes	68	review	competing: metric tonnes (23); metric tons (23); ministry transport (22)	"mt +> ?""metric tonnes"";"
jcm	joint crediting mechanism	67	ready		"jcm +> ?""joint crediting mechanism"";"
ida	international development association	67	ready		"ida +> ?""international development association"";"
dgef	director ate general environ ment forests	67	ready		"dgef +> ?""director ate general environ ment forests"";"
gber	general block exemption regulation	67	ready		"gber +> ?""general block exemption regulation"";"
def	department environment forests	67	ready		"def +> ?""department environment forests"";"
isic	international standard industrial classification	67	ready		"isic +> ?""international standard industrial classification"";"
mhp	mini hydro power	66	ready		"mhp +> ?""mini hydro power"";"
iccpr	international covenant civil political rights	66	ready		"iccpr +> ?""international covenant civil political rights"";"
undaf	united nations development assistance framework	65	ready		"undaf +> ?""united nations development assistance framework"";"
needs	national electric energy data system	65	ready		"needs +> ?""national electric energy data system"";"
sei	stockholm environment institute	65	ready		"sei +> ?""stockholm environment institute"";"
ptc	project technical coordinator	65	review	competing: project technical coordinator (45); project technical committee (20)	"ptc +> ?""project technical coordinator"";"
folu	forestry other land use	65	review	competing: forestry other land use (42); forest other land use (23)	"folu +> ?""forestry other land use"";"
tsms	turkish state meteorological service	65	ready		"tsms +> ?""turkish state meteorological service"";"
sip	state implementation plan	65	ready		"sip +> ?""state implementation plan"";"
hap	hazardous air pollutants	65	ready		"hap +> ?""hazardous air pollutants"";"
afd	annual financial commitments french development	64	ready		"afd +> ?""annual financial commitments french development"";"
ands	afghanistan national development strategy	63	ready		"ands +> ?""afghanistan national development strategy"";"
pfan	private financing advisory network	63	ready		"pfan +> ?""private financing advisory network"";"
dr	demand response	63	review	competing: demand response (37); designated representative (26)	"dr +> ?""demand response"";"
kba	key biodiversity areas	63	review	competing: key biodiversity areas (34); key biodiversity area (29)	"kba +> ?""key biodiversity areas"";"
ndmo	national disaster management office	62	ready		"ndmo +> ?""national disaster management office"";"
iied	international institute environment development	62	ready		"iied +> ?""international institute environment development"";"
rmi	rocky mountain institute	62	review	competing: rocky mountain institute (42); republic marshall islands (20)	"rmi +> ?""rocky mountain institute"";"
eps	earnings per share	62	ready		"eps +> ?""earnings per share"";"
nhpa	national historic preservation act	62	ready		"nhpa +> ?""national historic preservation act"";"
echr	european convention human rights	61	ready		"echr +> ?""european convention human rights"";"
png	papua new guinea	61	review	ISO code for Papua New Guinea	"png +> ?""papua new guinea"";"
cafe	corporate average fuel economy	61	ready		"cafe +> ?""corporate average fuel economy"";"
eaf	electric arc furnace	61	ready		"eaf +> ?""electric arc furnace"";"
czmai	coastal zone management authority institute	61	ready		"czmai +> ?""coastal zone management authority institute"";"
rle	red list ecosystems	61	ready		"rle +> ?""red list ecosystems"";"
dilg	department interior local government	61	ready		"dilg +> ?""department interior local government"";"
spcr	strategic programme climate resilience	61	review	competing: strategic programme climate resilience (34); strategic program climate resilience (27)	"spcr +> ?""strategic programme climate resilience"";"
ieo	independent evaluation office	61	ready		"ieo +> ?""independent evaluation office"";"
egr	estimated gross revenue	61	review	competing: estimated gross revenue (32); exhaust gas recirculation (29)	"egr +> ?""estimated gross revenue"";"
nic	national inventory compiler	60	review	ISO code for Nicaragua	"nic +> ?""national inventory compiler"";"
saifi	system average interruption frequency index	60	ready		"saifi +> ?""system average interruption frequency index"";"
epri	electric power research institute	60	ready		"epri +> ?""electric power research institute"";"
lucf	land use change forestry	60	ready		"lucf +> ?""land use change forestry"";"
ems	environmental management system	60	review	competing: environmental management system (36); energy management system (24)	"ems +> ?""environmental management system"";"
eesl	energy efficiency services limited	59	ready		"eesl +> ?""energy efficiency services limited"";"
idp	information disclosure policy	59	ready		"idp +> ?""information disclosure policy"";"
ppa	power purchase agreement	59	ready		"ppa +> ?""power purchase agreement"";"
cbam	carbon border adjustment mechanism	59	ready		"cbam +> ?""carbon border adjustment mechanism"";"
sar	second assessment report	59	ready		"sar +> ?""second assessment report"";"
msfd	marine strategy framework directive	59	ready		"msfd +> ?""marine strategy framework directive"";"
mms	manure management system	59	ready		"mms +> ?""manure management system"";"
list	luxembourg institute science technology	59	ready		"list +> ?""luxembourg institute science technology"";"
nrmp	national rangeland management policy	58	ready		"nrmp +> ?""national rangeland management policy"";"
saidi	system average interruption duration index	58	ready		"saidi +> ?""system average interruption duration index"";"
sawep	south africa wind energy programme	58	ready		"sawep +> ?""south africa wind energy programme"";"
ma	ministry agriculture	58	review	ISO-2 prefix, Morocco	"ma +> ?""ministry agriculture"";"
dmi	danish meteorological institute	58	ready		"dmi +> ?""danish meteorological institute"";"
cs	country specific	57	ready		"cs +> ?""country specific"";"
al	agricultural land	57	review	ISO-2 prefix, Albania	"al +> ?""agricultural land"";"
mcrace	mashare climate resilient agriculture centre excellence	57	ready		"mcrace +> ?""mashare climate resilient agriculture centre excellence"";"
la	level assessment	57	review	ISO-2 prefix, Lao People's Democratic Republic	"la +> ?""level assessment"";"
gsp	global support programme	57	review	competing: global support programme (33); global support program (24)	"gsp +> ?""global support programme"";"
ccc	climate change commission	57	review	competing: climate change commission (32); climate change committee (25)	"ccc +> ?""climate change commission"";"
wbg	world bank group	57	ready		"wbg +> ?""world bank group"";"
smhi	swedish meteorological hydrological institute	57	ready		"smhi +> ?""swedish meteorological hydrological institute"";"
nip	national implementation plan	56	ready		"nip +> ?""national implementation plan"";"
hhs	health human services	56	ready		"hhs +> ?""health human services"";"
mmt	million metric tons	56	ready		"mmt +> ?""million metric tons"";"
sri	system rice intensification	56	ready		"sri +> ?""system rice intensification"";"
sc	steering committee	56	ready		"sc +> ?""steering committee"";"
dd	data deficient	56	ready		"dd +> ?""data deficient"";"
fl	forest land	56	ready		"fl +> ?""forest land"";"
lgma	local governments municipal authorities	56	ready		"lgma +> ?""local governments municipal authorities"";"
mta	material transfer agreement	55	ready		"mta +> ?""material transfer agreement"";"
luc	land use change	55	ready		"luc +> ?""land use change"";"
gfdrr	global facility disaster reduction recovery	55	ready		"gfdrr +> ?""global facility disaster reduction recovery"";"
fsi	forest survey india	55	ready		"fsi +> ?""forest survey india"";"
ca	conservation agriculture	55	review	ISO-2 prefix, Central African Republic	"ca +> ?""conservation agriculture"";"
nds	national development strategy	55	ready		"nds +> ?""national development strategy"";"
naruc	national association regulatory utility commissioners	55	ready		"naruc +> ?""national association regulatory utility commissioners"";"
cat	climate action tracker	54	ready		"cat +> ?""climate action tracker"";"
its	intelligent transport systems	54	ready		"its +> ?""intelligent transport systems"";"
mac	marginal abatement cost	54	ready		"mac +> ?""marginal abatement cost"";"
eed	energy efficiency directive	54	ready		"eed +> ?""energy efficiency directive"";"
cesr	center economic social rights	53	ready		"cesr +> ?""center economic social rights"";"
gcca	global climate change alliance	53	ready		"gcca +> ?""global climate change alliance"";"
iasb	international accounting standards board	53	ready		"iasb +> ?""international accounting standards board"";"
mpi	ministry planning investment	53	review	competing: ministry planning investment (31); multidimensional poverty index (22)	"mpi +> ?""ministry planning investment"";"
hrsg	heat recovery steam generating	53	ready		"hrsg +> ?""heat recovery steam generating"";"
tsr	total shareholder return	52	ready		"tsr +> ?""total shareholder return"";"
eis	environmental impact statement	52	ready		"eis +> ?""environmental impact statement"";"
pf	project financing	52	ready		"pf +> ?""project financing"";"
cdp	carbon disclosure project	52	ready		"cdp +> ?""carbon disclosure project"";"
nccap	national climate change action plan	52	ready		"nccap +> ?""national climate change action plan"";"
cbit	capacity building initiative transparency	52	ready		"cbit +> ?""capacity building initiative transparency"";"
nreap	national renewable energy action plan	52	ready		"nreap +> ?""national renewable energy action plan"";"
abs	access benefit sharing	52	review	competing: access benefit sharing (29); access benefit sharing scheme (23)	"abs +> ?""access benefit sharing"";"
nps	net promoter score	51	ready		"nps +> ?""net promoter score"";"
undrr	united nations office disaster risk reduction	51	ready		"undrr +> ?""united nations office disaster risk reduction"";"
csir	council scientific industrial research	51	ready		"csir +> ?""council scientific industrial research"";"
sdc	swiss agency development cooperation	51	ready		"sdc +> ?""swiss agency development cooperation"";"
iris	integrated risk information system	51	ready		"iris +> ?""integrated risk information system"";"
ocsla	outer continental shelf lands act	51	ready		"ocsla +> ?""outer continental shelf lands act"";"
esp	environmental social policy	51	review	ISO code for Spain	"esp +> ?""environmental social policy"";"
cbs	community baboon sanctuary	51	review	competing: community baboon sanctuary (26); central bureau statistics (25)	"cbs +> ?""community baboon sanctuary"";"
npfe	national portfolio formulation exercise	50	ready		"npfe +> ?""national portfolio formulation exercise"";"
pmr	partnership market readiness	50	ready		"pmr +> ?""partnership market readiness"";"
pac	protected areas commission	50	review	competing: protected areas commission (28); project advisory committee (22)	"pac +> ?""protected areas commission"";"
ges	government economic service	50	review	competing: government economic service (27); good environmental status (23)	"ges +> ?""government economic service"";"
sso	sectoral strategic objective	50	review	competing: sectoral strategic objective (27); sectoral strategic objectives (23)	"sso +> ?""sectoral strategic objective"";"
depa	danish environmental protection agency	49	ready		"depa +> ?""danish environmental protection agency"";"
jrc	joint research centre	49	ready		"jrc +> ?""joint research centre"";"
egat	electricity generating authority thailand	49	ready		"egat +> ?""electricity generating authority thailand"";"
ace	action climate empowerment	49	ready		"ace +> ?""action climate empowerment"";"
ndpc	national development planning commission	49	ready		"ndpc +> ?""national development planning commission"";"
neda	national economic development authority	48	ready		"neda +> ?""national economic development authority"";"
wrma	water resources management agency	48	ready		"wrma +> ?""water resources management agency"";"
fca	fiat chrysler automobiles	48	review	already a rule in documents.sr	"fca +> ?""fiat chrysler automobiles"";"
oas	organization american states	48	ready		"oas +> ?""organization american states"";"
nmfs	national marine fisheries service	48	ready		"nmfs +> ?""national marine fisheries service"";"
nsds	national sustainable development strategy	47	ready		"nsds +> ?""national sustainable development strategy"";"
nei	national emissions inventory	47	ready		"nei +> ?""national emissions inventory"";"
dsi	digital sequence information	47	ready		"dsi +> ?""digital sequence information"";"
mi	mission innovation	47	review	competing: mission innovation (26); ministry interior (21)	"mi +> ?""mission innovation"";"
eor	enhanced oil recovery	47	ready		"eor +> ?""enhanced oil recovery"";"
vcs	verified carbon standard	47	review	competing: verified carbon standard (24); voluntary consensus standards (23)	"vcs +> ?""verified carbon standard"";"
mwi	ministry water irrigation	46	review	ISO code for Malawi	"mwi +> ?""ministry water irrigation"";"
fec	final energy consumption	46	ready		"fec +> ?""final energy consumption"";"
vs	volatile solids	46	review	competing: volatile solids (26); volatile solid (20)	"vs +> ?""volatile solids"";"
ons	o national statistic	46	review	competing: o national statistic (26); office national statistics (20)	"ons +> ?""o national statistic"";"
nsdp	national strategic development plan	46	review	competing: national strategic development plan (24); national sustainable development plan (22)	"nsdp +> ?""national strategic development plan"";"
cf	carbon fraction	46	ready		"cf +> ?""carbon fraction"";"
niip	national inventory improvement plan	46	ready		"niip +> ?""national inventory improvement plan"";"
bp	british petroleum	45	ready		"bp +> ?""british petroleum"";"
bac	building adaptive capacity	45	ready		"bac +> ?""building adaptive capacity"";"
pr	paris reinforce	45	review	ISO-2 prefix, Portugal	"pr +> ?""paris reinforce"";"
mtc	ministry transport communications	45	ready		"mtc +> ?""ministry transport communications"";"
sis	safeguards information system	45	ready		"sis +> ?""safeguards information system"";"
nssg	national statistical service greece	45	ready		"nssg +> ?""national statistical service greece"";"
mea	metropolitan electricity authority	45	ready		"mea +> ?""metropolitan electricity authority"";"
es	electricity system	45	review	ISO-2 prefix, Western Sahara	"es +> ?""electricity system"";"
nec	national environment commission	45	review	competing: national environment commission (23); national environmental council (22)	"nec +> ?""national environment commission"";"
gto	gef technical officers	44	ready		"gto +> ?""gef technical officers"";"
apua	antigua public utilities authority	44	ready		"apua +> ?""antigua public utilities authority"";"
nta	national transport authority	44	ready		"nta +> ?""national transport authority"";"
spr	statutory performance requirements	44	ready		"spr +> ?""statutory performance requirements"";"
eeos	energy efficiency obligation scheme	44	ready		"eeos +> ?""energy efficiency obligation scheme"";"
ippc	integrated pollution prevention control	44	ready		"ippc +> ?""integrated pollution prevention control"";"
usgs	united states geological survey	44	ready		"usgs +> ?""united states geological survey"";"
mard	ministry agriculture rural development	44	ready		"mard +> ?""ministry agriculture rural development"";"
ccu	climate change unit	44	review	competing: climate change unit (24); carbon capture utilization (20)	"ccu +> ?""climate change unit"";"
sop	standard operating procedures	44	review	competing: standard operating procedures (23); standard operating procedure (21)	"sop +> ?""standard operating procedures"";"
fda	forestry development authority	44	review	competing: forestry development authority (22); food drug administration (22)	"fda +> ?""forestry development authority"";"
cd	country director	43	ready		"cd +> ?""country director"";"
nea	national environment agency	43	ready		"nea +> ?""national environment agency"";"
nisr	national institute statistics rwanda	43	ready		"nisr +> ?""national institute statistics rwanda"";"
sanbi	south african national biodiversity institute	43	ready		"sanbi +> ?""south african national biodiversity institute"";"
cabei	central american bank economic integration	43	ready		"cabei +> ?""central american bank economic integration"";"
dsm	demand side management	42	ready		"dsm +> ?""demand side management"";"
rgr	required gross revenue	42	ready		"rgr +> ?""required gross revenue"";"
psa	philippine statistics authority	42	ready		"psa +> ?""philippine statistics authority"";"
nbmp	national biodiversity monitoring program	42	ready		"nbmp +> ?""national biodiversity monitoring program"";"
fmrl	forest management reference level	42	ready		"fmrl +> ?""forest management reference level"";"
nemc	national environment management council	42	ready		"nemc +> ?""national environment management council"";"
rdb	rwanda development board	42	ready		"rdb +> ?""rwanda development board"";"
chm	clearing house mechanism	42	ready		"chm +> ?""clearing house mechanism"";"
cciep	coordination committee international environmental policy	42	ready		"cciep +> ?""coordination committee international environmental policy"";"
fod	first order decay	42	ready		"fod +> ?""first order decay"";"
fc	forestry commission	42	ready		"fc +> ?""forestry commission"";"
dcd	deputy country director	42	ready		"dcd +> ?""deputy country director"";"
amap	arctic monitoring assessment programme	42	ready		"amap +> ?""arctic monitoring assessment programme"";"
ecn	energy commission nigeria	42	review	competing: energy commission nigeria (21); early career network (21)	"ecn +> ?""energy commission nigeria"";"
jtf	just transition fund	42	ready		"jtf +> ?""just transition fund"";"
itl	independent transaction log	41	ready		"itl +> ?""independent transaction log"";"
npm	national project manager	41	ready		"npm +> ?""national project manager"";"
gem	gas emissions model	41	ready		"gem +> ?""gas emissions model"";"
mpis	mdb project implementation supervision	41	ready		"mpis +> ?""mdb project implementation supervision"";"
esmap	energy sector management assistance program	41	ready		"esmap +> ?""energy sector management assistance program"";"
pec	primary energy consumption	41	ready		"pec +> ?""primary energy consumption"";"
cii	confederation indian industry	41	ready		"cii +> ?""confederation indian industry"";"
msp	marine spatial planning	41	ready		"msp +> ?""marine spatial planning"";"
nerc	north american electric reliability corporation	41	ready		"nerc +> ?""north american electric reliability corporation"";"
pee	project executing entity	41	ready		"pee +> ?""project executing entity"";"
seea-ea	system environmental economic accounting ecosystem accounting	40	ready		"seea-ea +> ?""system environmental economic accounting ecosystem accounting"";"
gesi	gender equality social inclusion	40	ready		"gesi +> ?""gender equality social inclusion"";"
cea	central electricity authority	40	ready		"cea +> ?""central electricity authority"";"
npas	national protected areas system	40	ready		"npas +> ?""national protected areas system"";"
of	oxidation factor	39	ready		"of +> ?""oxidation factor"";"
gb	gilgit baltistan	39	review	ISO-2 prefix, United Kingdom	"gb +> ?""gilgit baltistan"";"
mtef	medium term expenditure framework	39	ready		"mtef +> ?""medium term expenditure framework"";"
icfre	indian council forestry research education	39	ready		"icfre +> ?""indian council forestry research education"";"
barmm	bangsamoro autonomous region muslim mindanao	39	ready		"barmm +> ?""bangsamoro autonomous region muslim mindanao"";"
prw	programma naar een rijke waddenzee	39	ready		"prw +> ?""programma naar een rijke waddenzee"";"
steo	short term energy outlook	39	ready		"steo +> ?""short term energy outlook"";"
nsia	national statistics information authority	39	ready		"nsia +> ?""national statistics information authority"";"
apecs	association polar early career scientist	39	ready		"apecs +> ?""association polar early career scientist"";"
step	strategic technologies europe platform	39	ready		"step +> ?""strategic technologies europe platform"";"
ifrs	international financial reporting standards	39	ready		"ifrs +> ?""international financial reporting standards"";"
pea	provincial electricity authority	39	ready		"pea +> ?""provincial electricity authority"";"
meb	ministr y energy busines	39	ready		"meb +> ?""ministr y energy busines"";"
fdre	federal democratic republic ethiopia	39	ready		"fdre +> ?""federal democratic republic ethiopia"";"
mf	ministry finance	38	ready		"mf +> ?""ministry finance"";"
dm	disaster management	38	review	ISO-2 prefix, Dominica	"dm +> ?""disaster management"";"
sesa	strategic environmental social assessment	38	ready		"sesa +> ?""strategic environmental social assessment"";"
frl	forest reference level	38	ready		"frl +> ?""forest reference level"";"
neri	national environmental research institute	38	ready		"neri +> ?""national environmental research institute"";"
waj	water authority jordan	38	ready		"waj +> ?""water authority jordan"";"
paho	pan american health organization	38	ready		"paho +> ?""pan american health organization"";"
guan	gcos upper air network	38	ready		"guan +> ?""gcos upper air network"";"
ciel	center international environmental law	38	ready		"ciel +> ?""center international environmental law"";"
uncbd	united nations convention biological diversity	38	ready		"uncbd +> ?""united nations convention biological diversity"";"
dwr	department water resources	38	ready		"dwr +> ?""department water resources"";"
pse	process safety event	38	review	ISO code for Palestine	"pse +> ?""process safety event"";"
ciee	cleantech innovation entrepreneurship ecosystem	38	ready		"ciee +> ?""cleantech innovation entrepreneurship ecosystem"";"
caidi	customer average interruption duration index	38	ready		"caidi +> ?""customer average interruption duration index"";"
gio	gas inventory office	37	ready		"gio +> ?""gas inventory office"";"
osf	official statistics finland	37	ready		"osf +> ?""official statistics finland"";"
frv	favorable reference value	37	ready		"frv +> ?""favorable reference value"";"
vat	value added tax	37	ready		"vat +> ?""value added tax"";"
nem	network ecological monitoring	37	ready		"nem +> ?""network ecological monitoring"";"
ngl	natural gas liquids	37	ready		"ngl +> ?""natural gas liquids"";"
ccag	climate change adaptation groups	37	ready		"ccag +> ?""climate change adaptation groups"";"
mvp	minimum viable population	37	ready		"mvp +> ?""minimum viable population"";"
taf	technical assistance facility	36	ready		"taf +> ?""technical assistance facility"";"
eiec	environmental information education center	36	ready		"eiec +> ?""environmental information education center"";"
csiro	commonwealth scientific industrial research organisation	36	ready		"csiro +> ?""commonwealth scientific industrial research organisation"";"
